SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	chinchilla_lanigera	ENSCLAP00000015879	JH721884.1	19296346	19333079	-1	ENSCLAG00000010920	ACTR2	long_tailed_chinchilla
SEQ	mandrillus_leucophaeus	ENSMLEP00000028078	KN975037.1	1258314	1305322	1	ENSMLEG00000038155	ACTR2	drill
SEQ	octodon_degus	ENSODEP00000014825	JH651593.1	4041403	4083953	-1	ENSODEG00000010956	NULL	degu
SEQ	tupaia_belangeri	ENSTBEP00000006862	GeneScaffold_2639	86228	180150	1	ENSTBEG00000007941	ACTR2	nothern_tree_shrew
SEQ	castor_canadensis	ENSCCNP00000010107	MTKA01000991.1	1343381	1380499	-1	ENSCCNG00000010628	Actr2	american_beaver
SEQ	macaca_fascicularis	ENSMFAP00000025389	13	44699338	44742985	-1	ENSMFAG00000044097	ACTR2	crab_eating_macaque
SEQ	macaca_fascicularis	ENSMFAP00000030863	10	27960336	27961434	1	ENSMFAG00000042614	NULL	crab_eating_macaque
SEQ	panthera_leo	ENSPLOP00000020861	B1	56572740	56608275	-1	ENSPLOG00000015113	ACTR2	lion
SEQ	pan_troglodytes	ENSPTRP00000072166	19	21407911	21409613	1	ENSPTRG00000033914	NULL	chimpanzee
SEQ	canis_lupus_dingo	ENSCAFP00020034825	QKWQ01001844.1	49802143	49836444	1	ENSCAFG00020026978	ACTR2	dingo
SEQ	delphinapterus_leucas	ENSDLEP00000018400	ML702052.1	7940149	7973960	-1	ENSDLEG00000013424	ACTR2	beluga_whale
SEQ	choloepus_hoffmanni	ENSCHOP00000010844	GeneScaffold_3803	4396	26095	1	ENSCHOG00000012258	ACTR2	Hoffmanns_two_fingered_sloth
SEQ	nannospalax_galili	ENSNGAP00000007909	KL198615.1	32074	79387	1	ENSNGAG00000011036	Actr2	upper_galilee_mountains_blind_mole_rat
SEQ	mus_musculus	ENSMUSP00000000137	11	20062304	20112913	-1	ENSMUSG00000020152	Actr2	house_mouse
SEQ	nomascus_leucogenys	ENSNLEP00000028506	14	33793771	33838607	1	ENSNLEG00000009948	ACTR2	gibbon
SEQ	cercocebus_atys	ENSCATP00000025157	KQ012397.1	12216154	12256876	1	ENSCATG00000036025	ACTR2	sooty_mangabey
SEQ	papio_anubis	ENSPANP00000033824	13	64483787	64522088	1	ENSPANG00000007073	ACTR2	olive_baboon
SEQ	macaca_fascicularis	ENSMFAP00000009163	10	27934146	27935415	-1	ENSMFAG00000000938	NULL	crab_eating_macaque
SEQ	camelus_dromedarius	ENSCDRP00005009340	15	48314154	48340139	1	ENSCDRG00005006571	ACTR2	arabian_camel
SEQ	sus_scrofa	ENSSSCP00000036359	3	76691283	76728918	-1	ENSSSCG00000008358	ACTR2	wild_boar
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000012708	11	62663107	62698915	1	ENSCHYG00000008112	ACTR2	central_asian_red_deer
SEQ	lynx_canadensis	ENSLCNP00005009284	A3	82310103	82346417	1	ENSLCNG00005006073	ACTR2	canadian_lynx
SEQ	cavia_aperea	ENSCAPP00000005280	AVPZ01000433.1	212471	238280	-1	ENSCAPG00000007635	ACTR2	brazilian_guinea_pig
SEQ	moschus_moschiferus	ENSMMSP00000008687	PVHU020005308.1	13781040	13818204	-1	ENSMMSG00000006727	ACTR2	siberian_musk_deer
SEQ	pan_troglodytes	ENSPTRP00000092095	2A	66597663	66649959	1	ENSPTRG00000011990	NULL	chimpanzee
SEQ	papio_anubis	ENSPANP00000037968	10	64780961	64782044	1	ENSPANG00000033406	NULL	olive_baboon
SEQ	mus_spicilegus	ENSMSIP00000015418	QGOO01037278.1	1718394	1767987	-1	ENSMSIG00000013218	Actr2	steppe_mouse
SEQ	dasypus_novemcinctus	ENSDNOP00000026742	JH570416.1	540076	576060	1	ENSDNOG00000037152	ACTR2	nine_banded_armadillo
SEQ	macaca_fascicularis	ENSMFAP00000004985	10	28571039	28572011	-1	ENSMFAG00000002175	NULL	crab_eating_macaque
SEQ	cercocebus_atys	ENSCATP00000000811	KQ012379.1	532218	533424	1	ENSCATG00000003735	NULL	sooty_mangabey
SEQ	felis_catus	ENSFCAP00000034344	A3	85272812	85309499	1	ENSFCAG00000004960	ACTR2	domestic_cat
SEQ	mandrillus_leucophaeus	ENSMLEP00000005672	KN975725.1	1401727	1403305	-1	ENSMLEG00000024630	NULL	drill
SEQ	echinops_telfairi	ENSETEP00000004616	GeneScaffold_4073	33098	107758	1	ENSETEG00000005679	ACTR2	lesser_hedgehog_tenrec
SEQ	erinaceus_europaeus	ENSEEUP00000008430	GeneScaffold_4200	285	132709	1	ENSEEUG00000009247	ACTR2	western_european_hedgehog
SEQ	canis_lupus_familiaris	ENSCAFP00000051199	10	64696111	64730553	1	ENSCAFG00000003197	ACTR2	domestic_dog
SEQ	papio_anubis	ENSPANP00000035124	10	64153991	64154965	1	ENSPANG00000034615	NULL	olive_baboon
SEQ	zalophus_californianus	ENSZCAP00015013215	8	57138867	57174105	-1	ENSZCAG00015008528	ACTR2	cali_sea_lion
SEQ	ochotona_princeps	ENSOPRP00000013544	GeneScaffold_2387	7360	62814	1	ENSOPRG00000014831	NULL	american_pika
SEQ	panthera_pardus	ENSPPRP00000028643	KV860272.1	24973086	25012247	1	ENSPPRG00000020870	ACTR2	leopard
SEQ	oryctolagus_cuniculus	ENSOCUP00000031750	17	76044268	76045184	-1	ENSOCUG00000030253	NULL	rabbit
SEQ	procavia_capensis	ENSPCAP00000006746	GeneScaffold_3523	13133	53047	1	ENSPCAG00000007219	ACTR2	cape_rock_hyrax
SEQ	bison_bison_bison	ENSBBBP00000021943	KN265183.1	10952946	10977551	1	ENSBBBG00000003899	NULL	american_bison
SEQ	papio_anubis	ENSPANP00000045505	10	64757663	64758869	-1	ENSPANG00000036032	NULL	olive_baboon
SEQ	oryctolagus_cuniculus	ENSOCUP00000038247	2	120994870	121067088	-1	ENSOCUG00000004906	ACTR2	rabbit
SEQ	gorilla_gorilla	ENSGGOP00000032912	19	20145500	20147192	1	ENSGGOG00000009341	NULL	gorilla
SEQ	ursus_maritimus	ENSUMAP00000028988	KK498653.1	22766136	22792958	1	ENSUMAG00000021042	ACTR2	polar_bear
SEQ	vulpes_vulpes	ENSVVUP00000038697	NBDQ01000142.1	279614	314868	1	ENSVVUG00000027598	ACTR2	red_fox
SEQ	pteropus_vampyrus	ENSPVAP00000011543	GeneScaffold_72	129581	156981	1	ENSPVAG00000012246	ACTR2	large_flying_fox
SEQ	carlito_syrichta	ENSTSYP00000015510	KE941524.1	313231	345872	-1	ENSTSYG00000034470	ACTR2	philippine_tarsier
SEQ	ochotona_princeps	ENSOPRP00000016357	scaffold_22184	14799	15714	1	ENSOPRG00000018187	NULL	american_pika
SEQ	loxodonta_africana	ENSLAFP00000008604	scaffold_27	16412034	16448000	1	ENSLAFG00000010273	ACTR2	african_savanna_elephant
SEQ	equus_asinus_asinus	ENSEASP00005010258	PSZQ01000736.1	3830622	3860943	1	ENSEASG00005007299	ACTR2	donkey
SEQ	sorex_araneus	ENSSARP00000003824	GeneScaffold_3413	20590	156881	1	ENSSARG00000004214	ACTR2	european_shrew
SEQ	rattus_norvegicus	ENSRNOP00000006607	14	104340434	104375649	-1	ENSRNOG00000004959	Actr2	norway_rat
SEQ	bison_bison_bison	ENSBBBP00000011096	KN259269.1	4841	7167	1	ENSBBBG00000004904	NULL	american_bison
SEQ	ailuropoda_melanoleuca	ENSAMEP00000016623	GL192562.1	77977	112461	1	ENSAMEG00000015749	ACTR2	giant_panda
SEQ	equus_caballus	ENSECAP00000007132	15	37530602	37561748	-1	ENSECAG00000009219	ACTR2	domestic_horse
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000016520	10	11116732	11170459	1	ENSPEMG00000015727	Actr2	prairie_deer_mouse
SEQ	aotus_nancymaae	ENSANAP00000041557	KZ200915.1	13068171	13100934	1	ENSANAG00000038066	ACTR2	mas_night_monkey
SEQ	gorilla_gorilla	ENSGGOP00000028413	2A	41614646	41656839	-1	ENSGGOG00000008505	NULL	gorilla
