SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene
SEQ	oryctolagus_cuniculus	ENSOCUP00000015364	14	75015585	75040892	1	ENSOCUG00000017883	ACTL6A
SEQ	felis_catus	ENSFCAP00000011471	C2	89588856	89618711	-1	ENSFCAG00000012364	ACTL6A
SEQ	loxodonta_africana	ENSLAFP00000011318	scaffold_25	214417	245595	1	ENSLAFG00000013530	ACTL6A
SEQ	octodon_degus	ENSODEP00000003664	JH651813.1	1639303	1652957	-1	ENSODEG00000002804	NULL
SEQ	nannospalax_galili	ENSNGAP00000024880	KL201730.1	1206585	1225557	-1	ENSNGAG00000023000	Actl6a
SEQ	mus_musculus	ENSMUSP00000029214	3	32708507	32726973	1	ENSMUSG00000027671	Actl6a
SEQ	equus_asinus_asinus	ENSEASP00005024780	PSZQ01001687.1	4038001	4069196	-1	ENSEASG00005016862	ACTL6A
SEQ	cavia_aperea	ENSCAPP00000013540	AVPZ01000422.1	10500514	10513589	1	ENSCAPG00000014138	ACTL6A
SEQ	pan_troglodytes	ENSPTRP00000072699	3	183480097	183502475	1	ENSPTRG00000023973	ACTL6A
SEQ	chinchilla_lanigera	ENSCLAP00000017858	JH721880.1	8744597	8764993	1	ENSCLAG00000012251	ACTL6A
SEQ	vulpes_vulpes	ENSVVUP00000006176	NBDQ01000064.1	543802	609223	1	ENSVVUG00000004812	ACTL6A
SEQ	ochotona_princeps	ENSOPRP00000007148	GeneScaffold_2273	6910	53907	1	ENSOPRG00000007803	ACTL6A
SEQ	tupaia_belangeri	ENSTBEP00000005266	GeneScaffold_2530	4	17816	1	ENSTBEG00000006118	ACTL6A
SEQ	mus_spicilegus	ENSMSIP00000037990	QGOO01036814.1	814333	828131	-1	ENSMSIG00000031649	Actl6a
SEQ	carlito_syrichta	ENSTSYP00000001422	KE926879.1	277007	298193	1	ENSTSYG00000001527	ACTL6A
SEQ	delphinapterus_leucas	ENSDLEP00000019959	ML702122.1	98952807	98973423	-1	ENSDLEG00000014465	ACTL6A
SEQ	echinops_telfairi	ENSETEP00000015728	GeneScaffold_3921	1202	37841	1	ENSETEG00000019357	ACTL6A
SEQ	callithrix_jacchus	ENSCJAP00000024094	NTIC01006668.1	1212370	1237714	1	ENSCJAG00000013036	ACTL6A
SEQ	panthera_pardus	ENSPPRP00000004090	KV860313.1	8154196	8184538	1	ENSPPRG00000000310	ACTL6A
SEQ	sus_scrofa	ENSSSCP00000012532	13	117598493	117628493	1	ENSSSCG00000011762	ACTL6A
SEQ	rattus_norvegicus	ENSRNOP00000015460	2	119112513	119129751	1	ENSRNOG00000011553	Actl6a
SEQ	procavia_capensis	ENSPCAP00000015403	GeneScaffold_3385	679	27264	1	ENSPCAG00000016438	ACTL6A
SEQ	choloepus_hoffmanni	ENSCHOP00000008395	GeneScaffold_3634	13242	34519	1	ENSCHOG00000009477	ACTL6A
SEQ	canis_lupus_familiaris	ENSCAFP00000016743	34	12960699	12987962	1	ENSCAFG00000011364	ACTL6A
SEQ	camelus_dromedarius	ENSCDRP00005000490	1	48324074	48351628	1	ENSCDRG00005000384	ACTL6A
SEQ	zalophus_californianus	ENSZCAP00015000229	1	130670989	130700460	1	ENSZCAG00015000172	ACTL6A
SEQ	papio_anubis	ENSPANP00000008057	2	106483445	106508760	-1	ENSPANG00000024431	ACTL6A
SEQ	ursus_maritimus	ENSUMAP00000010040	KK498707.1	12936138	12961654	-1	ENSUMAG00000007556	ACTL6A
SEQ	lynx_canadensis	ENSLCNP00005016686	C2	71648985	71678567	1	ENSLCNG00005011007	ACTL6A
SEQ	dasypus_novemcinctus	ENSDNOP00000008813	JH578111.1	979791	1011769	-1	ENSDNOG00000011367	ACTL6A
SEQ	ailuropoda_melanoleuca	ENSAMEP00000011422	GL192341.1	4407374	4427034	1	ENSAMEG00000010856	ACTL6A
SEQ	canis_lupus_dingo	ENSCAFP00020029646	QKWQ01001007.1	12939772	12968057	1	ENSCAFG00020023126	ACTL6A
SEQ	panthera_leo	ENSPLOP00000020390	D1	70420549	70449831	1	ENSPLOG00000014922	ACTL6A
SEQ	pteropus_vampyrus	ENSPVAP00000004053	GeneScaffold_1666	2107	22027	1	ENSPVAG00000004278	ACTL6A
SEQ	castor_canadensis	ENSCCNP00000031035	MTKA01001582.1	418003	438214	1	ENSCCNG00000029613	Actl6a
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000029784	19	63043539	63071185	-1	ENSCHYG00000019950	ACTL6A
SEQ	mandrillus_leucophaeus	ENSMLEP00000020223	KN974219.1	4243342	4265832	1	ENSMLEG00000034199	ACTL6A
SEQ	equus_caballus	ENSECAP00000011372	19	20983694	21014435	1	ENSECAG00000013622	ACTL6A
SEQ	erinaceus_europaeus	ENSEEUP00000011049	GeneScaffold_4031	88	13515	1	ENSEEUG00000012092	ACTL6A
SEQ	cercocebus_atys	ENSCATP00000005293	KQ010918.1	1540747	1566757	1	ENSCATG00000017467	ACTL6A
SEQ	octodon_degus	ENSODEP00000006911	JH651545.1	3032995	3034280	-1	ENSODEG00000005156	NULL
SEQ	gorilla_gorilla	ENSGGOP00000015328	3	182601831	182628026	1	ENSGGOG00000015710	ACTL6A
SEQ	moschus_moschiferus	ENSMMSP00000004512	PVHU020000827.1	12032809	12062172	-1	ENSMMSG00000003389	ACTL6A
SEQ	sorex_araneus	ENSSARP00000012646	GeneScaffold_3269	45136	59927	1	ENSSARG00000013987	ACTL6A
SEQ	nomascus_leucogenys	ENSNLEP00000027914	11	104300311	104323185	1	ENSNLEG00000035913	ACTL6A
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000016541	6	16607545	16625327	1	ENSPEMG00000015742	Actl6a
SEQ	macaca_fascicularis	ENSMFAP00000014208	2	84068106	84093159	1	ENSMFAG00000030153	ACTL6A
SEQ	aotus_nancymaae	ENSANAP00000020513	KZ202137.1	234549	259135	-1	ENSANAG00000028039	ACTL6A
SEQ	bison_bison_bison	ENSBBBP00000008664	KN265082.1	1111506	1142598	1	ENSBBBG00000004132	ACTL6A
