SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	echinops_telfairi	ENSETEP00000003607	GeneScaffold_7752	47915	52569	-1	ENSETEG00000004405	NULL	lesser_hedgehog_tenrec	afrosoricida
SEQ	bison_bison_bison	ENSBBBP00000000822	KN264755.1	3778629	3780308	-1	ENSBBBG00000001682	ACTRT3	american_bison	artiodactyla
SEQ	camelus_dromedarius	ENSCDRP00005007184	1	40577770	40579947	-1	ENSCDRG00005005151	ACTRT3	arabian_camel	artiodactyla
SEQ	moschus_moschiferus	ENSMMSP00000006063	PVHU020000827.1	22577285	22579835	1	ENSMMSG00000004551	ACTRT3	siberian_musk_deer	artiodactyla
SEQ	sus_scrofa	ENSSSCP00000057703	13	108429832	108432086	-1	ENSSSCG00000039994	ACTRT3	wild_boar	artiodactyla
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000017143	19	72294458	72296409	1	ENSCHYG00000011422	ACTRT3	central_asian_red_deer	artiodactyla
SEQ	felis_catus	ENSFCAP00000036598	C2	98446801	98448732	1	ENSFCAG00000037978	ACTRT3	domestic_cat	carnivora
SEQ	ursus_maritimus	ENSUMAP00000002752	KK499145.1	133238	137940	1	ENSUMAG00000002412	ACTRT3	polar_bear	carnivora
SEQ	zalophus_californianus	ENSZCAP00015028977	1	122166407	122169721	-1	ENSZCAG00015018293	ACTRT3	cali_sea_lion	carnivora
SEQ	lynx_canadensis	ENSLCNP00005020906	C2	62842499	62844545	-1	ENSLCNG00005013642	ACTRT3	canadian_lynx	carnivora
SEQ	canis_lupus_familiaris	ENSCAFP00000021650	34	34370536	34375174	-1	ENSCAFG00000014677	ACTRT3	domestic_dog	carnivora
SEQ	vulpes_vulpes	ENSVVUP00000000532	NBDQ01000067.1	4659058	4663624	-1	ENSVVUG00000000497	ACTRT3	red_fox	carnivora
SEQ	ailuropoda_melanoleuca	ENSAMEP00000002149	GL192535.1	71004	72712	1	ENSAMEG00000002050	ACTRT3	giant_panda	carnivora
SEQ	canis_lupus_dingo	ENSCAFP00020000563	QKWQ01001902.1	14434471	14436821	-1	ENSCAFG00020000572	ACTRT3	dingo	carnivora
