SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	choloepus_hoffmanni	ENSCHOP00000010741	scaffold_247795	1287	1436	1	ENSCHOG00000012149	NULL	Hoffmanns_two_fingered_sloth
SEQ	procavia_capensis	ENSPCAP00000012754	scaffold_6552	5294	23121	1	ENSPCAG00000013696	MANBAL	cape_rock_hyrax
SEQ	callithrix_jacchus	ENSCJAP00000074899	NTIC01034389.1	30233973	30260319	1	ENSCJAG00000021513	NULL	white_tufted_ear_marmoset
SEQ	sus_scrofa	ENSSSCP00000019240	17	40420934	40449537	1	ENSSSCG00000025673	NULL	wild_boar
SEQ	loxodonta_africana	ENSLAFP00000013845	scaffold_19	36447371	36462302	1	ENSLAFG00000016489	MANBAL	african_savanna_elephant
SEQ	equus_caballus	ENSECAP00000009173	22	28562881	28563842	1	ENSECAG00000011341	MANBAL	domestic_horse
SEQ	mus_spicilegus	ENSMSIP00000033262	QGOO01037496.1	686799	705245	-1	ENSMSIG00000027837	Manbal	steppe_mouse
SEQ	cercocebus_atys	ENSCATP00000009926	KQ011504.1	6280311	6281365	1	ENSCATG00000029256	NULL	sooty_mangabey
SEQ	ochotona_princeps	ENSOPRP00000011330	GeneScaffold_4398	825510	896981	1	ENSOPRG00000012424	MANBAL	american_pika
SEQ	equus_asinus_asinus	ENSEASP00005004233	PSZQ01004655.1	21878339	21878506	-1	ENSEASG00005003207	MANBAL	donkey
SEQ	delphinapterus_leucas	ENSDLEP00000018302	ML702046.1	22106810	22146219	-1	ENSDLEG00000013369	MANBAL	beluga_whale
SEQ	pan_troglodytes	ENSPTRP00000089067	4	105510684	105510941	1	ENSPTRG00000051075	NULL	chimpanzee
SEQ	ursus_maritimus	ENSUMAP00000004523	KK498640.1	13714163	13727695	-1	ENSUMAG00000003655	MANBAL	polar_bear
SEQ	tupaia_belangeri	ENSTBEP00000008256	GeneScaffold_881	19312	44226	1	ENSTBEG00000009536	MANBAL	nothern_tree_shrew
SEQ	pan_troglodytes	ENSPTRP00000023135	20	38829477	38857130	1	ENSPTRG00000013473	MANBAL	chimpanzee
