SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	camelus_dromedarius	ENSCDRP00005016477	4	22942699	22944078	1	ENSCDRG00005011545	ACTL7B	arabian_camel
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000008429	16	29807013	29808404	-1	ENSCHYG00000005375	ACTL7B	central_asian_red_deer
SEQ	cavia_aperea	ENSCAPP00000009719	AVPZ01000933.1	1296080	1297318	-1	ENSCAPG00000011145	ACTL7B	brazilian_guinea_pig
SEQ	rattus_norvegicus	ENSRNOP00000022291	5	73492644	73494030	-1	ENSRNOG00000016621	Actl7b	norway_rat
SEQ	nannospalax_galili	ENSNGAP00000004477	KL204666.1	1830181	1831434	1	ENSNGAG00000005911	Actl7b	upper_galilee_mountains_blind_mole_rat
SEQ	canis_lupus_familiaris	ENSCAFP00000004132	11	64028093	64029457	-1	ENSCAFG00000002799	ACTL7B	domestic_dog
SEQ	dasypus_novemcinctus	ENSDNOP00000034032	JH575483.1	836466	837719	1	ENSDNOG00000032343	ACTL7B	nine_banded_armadillo
SEQ	loxodonta_africana	ENSLAFP00000016663	scaffold_6	50852771	50854018	1	ENSLAFG00000008993	ACTL7B	african_savanna_elephant
SEQ	zalophus_californianus	ENSZCAP00015017240	13	24249544	24250797	1	ENSZCAG00015011034	ACTL7B	cali_sea_lion
SEQ	octodon_degus	ENSODEP00000026245	JH651609.1	8735628	8736872	-1	ENSODEG00000019638	ACTL7B	degu
SEQ	mus_musculus	ENSMUSP00000092693	4	56740005	56741443	-1	ENSMUSG00000070980	Actl7b	house_mouse
SEQ	ursus_maritimus	ENSUMAP00000019387	KK498754.1	11280138	11281391	-1	ENSUMAG00000014225	ACTL7B	polar_bear
SEQ	ochotona_princeps	ENSOPRP00000012304	GeneScaffold_2858	1115840	1116766	-1	ENSOPRG00000013495	ACTL7B	american_pika
SEQ	oryctolagus_cuniculus	ENSOCUP00000013551	1	4315235	4316491	1	ENSOCUG00000015782	ACTL7B	rabbit
SEQ	ailuropoda_melanoleuca	ENSAMEP00000021027	GL192480.1	133283	134536	1	ENSAMEG00000019973	ACTL7B	giant_panda
SEQ	chinchilla_lanigera	ENSCLAP00000025737	JH721879.1	18106626	18107876	1	ENSCLAG00000017861	ACTL7B	long_tailed_chinchilla
SEQ	panthera_leo	ENSPLOP00000028685	E1	23280375	23282011	1	ENSPLOG00000021012	ACTL7B	lion
SEQ	sus_scrofa	ENSSSCP00000005833	1	249875987	249889280	-1	ENSSSCG00000005438	ACTL7B	wild_boar
SEQ	callithrix_jacchus	ENSCJAP00000067529	NTIC01000001.1	59664023	59665276	-1	ENSCJAG00000047256	NULL	white_tufted_ear_marmoset
SEQ	delphinapterus_leucas	ENSDLEP00000005434	ML702029.1	24633666	24634919	1	ENSDLEG00000004083	ACTL7B	beluga_whale
