SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	aotus_nancymaae	ENSANAP00000021404	KZ200088.1	2891855	2904362	-1	ENSANAG00000028469	ACTR8	mas_night_monkey
SEQ	nannospalax_galili	ENSNGAP00000003292	KL204268.1	1543960	1570905	-1	ENSNGAG00000003672	Actr8	upper_galilee_mountains_blind_mole_rat
SEQ	macaca_fascicularis	ENSMFAP00000030577	2	109205120	109219349	-1	ENSMFAG00000042471	ACTR8	crab_eating_macaque
SEQ	oryctolagus_cuniculus	ENSOCUP00000035349	9	20827443	20842856	-1	ENSOCUG00000009085	ACTR8	rabbit
SEQ	echinops_telfairi	ENSETEP00000012749	GeneScaffold_2382	4626	25505	-1	ENSETEG00000015720	ACTR8	lesser_hedgehog_tenrec
SEQ	cercocebus_atys	ENSCATP00000014757	KQ012885.1	1930603	1944700	-1	ENSCATG00000031395	ACTR8	sooty_mangabey
SEQ	octodon_degus	ENSODEP00000012744	JH651558.1	9384574	9399485	1	ENSODEG00000009432	ACTR8	degu
SEQ	mus_spicilegus	ENSMSIP00000033981	QGOO01001121.1	3953381	3969725	1	ENSMSIG00000028385	Actr8	steppe_mouse
SEQ	canis_lupus_dingo	ENSCAFP00020006232	QKWQ01002368.1	5176948	5192328	-1	ENSCAFG00020005070	ACTR8	dingo
SEQ	gorilla_gorilla	ENSGGOP00000000668	3	54967243	54980958	-1	ENSGGOG00000000679	ACTR8	gorilla
SEQ	mus_musculus	ENSMUSP00000153076	14	29978418	30006354	1	ENSMUSG00000015971	Actr8	house_mouse
SEQ	ursus_maritimus	ENSUMAP00000027655	KK498686.1	3078461	3094079	1	ENSUMAG00000020073	ACTR8	polar_bear
SEQ	canis_lupus_familiaris	ENSCAFP00000012118	20	36118477	36133881	1	ENSCAFG00000008248	ACTR8	domestic_dog
SEQ	moschus_moschiferus	ENSMMSP00000017080	PVHU021072425.1	13045311	13060611	-1	ENSMMSG00000012979	ACTR8	siberian_musk_deer
SEQ	equus_caballus	ENSECAP00000040184	16	35513683	35533533	1	ENSECAG00000013264	ACTR8	domestic_horse
SEQ	equus_asinus_asinus	ENSEASP00005022851	PSZQ01000897.1	51720890	51734903	-1	ENSEASG00005015582	ACTR8	donkey
SEQ	sorex_araneus	ENSSARP00000000414	GeneScaffold_365	73752	104495	-1	ENSSARG00000000461	ACTR8	european_shrew
SEQ	cavia_aperea	ENSCAPP00000015909	AVPZ01000001.1	54590427	54602101	1	ENSCAPG00000015921	ACTR8	brazilian_guinea_pig
SEQ	vulpes_vulpes	ENSVVUP00000028428	NBDQ01000006.1	25836189	25851450	1	ENSVVUG00000020792	ACTR8	red_fox
SEQ	carlito_syrichta	ENSTSYP00000001337	KE938054.1	370329	385228	-1	ENSTSYG00000001438	ACTR8	philippine_tarsier
