SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	echinops_telfairi	ENSETEP00000006928	scaffold_318944	3039	6258	1	ENSETEG00000008526	ACTC1	lesser_hedgehog_tenrec	afrosoricida
SEQ	camelus_dromedarius	ENSCDRP00005021246	11	78607056	78610744	1	ENSCDRG00005014779	NULL	arabian_camel	artiodactyla
SEQ	camelus_dromedarius	ENSCDRP00005002717	6	28028380	28033313	1	ENSCDRG00005001967	ACTC1	arabian_camel	artiodactyla
SEQ	sus_scrofa	ENSSSCP00000005172	1	136281167	136286545	1	ENSSSCG00000004803	ACTC1	wild_boar	artiodactyla
SEQ	moschus_moschiferus	ENSMMSP00000017146	PVHU020017367.1	1884420	1889771	-1	ENSMMSG00000013016	ACTC1	siberian_musk_deer	artiodactyla
SEQ	sus_scrofa	ENSSSCP00000056701	14	60412671	60417602	1	ENSSSCG00000010190	NULL	wild_boar	artiodactyla
SEQ	bison_bison_bison	ENSBBBP00000010532	KN264805.1	39061	40124	-1	ENSBBBG00000018634	NULL	american_bison	artiodactyla
SEQ	bison_bison_bison	ENSBBBP00000018970	KN264912.1	2261001	2265490	-1	ENSBBBG00000012098	ACTC1	american_bison	artiodactyla
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000009371	12	26209943	26214512	-1	ENSCHYG00000005995	ACTC1	central_asian_red_deer	artiodactyla
SEQ	ursus_maritimus	ENSUMAP00000001583	AVOR01114177.1	777	2890	1	ENSUMAG00000001488	NULL	polar_bear	carnivora
SEQ	lynx_canadensis	ENSLCNP00005008954	B3	67722070	67727248	1	ENSLCNG00005005876	ACTC1	canadian_lynx	carnivora
SEQ	ailuropoda_melanoleuca	ENSAMEP00000005482	GL192565.1	693915	698270	-1	ENSAMEG00000005186	ACTC1	giant_panda	carnivora
SEQ	vulpes_vulpes	ENSVVUP00000036747	NBDQ01000029.1	2415537	2420786	-1	ENSVVUG00000026308	ACTC1	red_fox	carnivora
SEQ	felis_catus	ENSFCAP00000058663	D2	19030724	19076162	1	ENSFCAG00000030433	ACTA1	domestic_cat	carnivora
SEQ	panthera_pardus	ENSPPRP00000016284	KV860279.1	41467224	41478703	1	ENSPPRG00000008617	ACTC1	leopard	carnivora
SEQ	canis_lupus_familiaris	ENSCAFP00000052955	30	2514838	2519382	-1	ENSCAFG00000012181	ACTC1	domestic_dog	carnivora
SEQ	panthera_leo	ENSPLOP00000003307	B4	65382223	65386591	1	ENSPLOG00000002393	ACTC1	lion	carnivora
SEQ	felis_catus	ENSFCAP00000013045	B3	70080059	70085659	1	ENSFCAG00000014067	ACTC1	domestic_cat	carnivora
SEQ	canis_lupus_dingo	ENSCAFP00020010691	QKWQ01001293.1	37953812	37962668	1	ENSCAFG00020008136	ACTC1	dingo	carnivora
SEQ	zalophus_californianus	ENSZCAP00015009901	7	77324348	77330054	-1	ENSZCAG00015006385	ACTC1	cali_sea_lion	carnivora
